EstablishmentID,InspectionID,Ins_TypeDesc,EstablishmentName,PlaceName,Address,Address2,City,State,Zip,TypeDescription,InspectionDate,score,Grade,NameSearch,Intersection,ObjectId
101210,1820764,REGULAR,EAGLE FOOD & BEER HALL,,1314 BARDSTOWN RD,,LOUISVILLE,KY,40204,FOOD SERVICE,2024/01/26 00:00:00,98,A,EAGLE FOOD & BEER HALL,,4650
102651,1814009,REGULAR,FARIS,,10231 BLUE LICK RD,,LOUISVILLE,KY,40229,"RETAIL-FOOD  10,000 SQ FT OR LESS",2023/12/21 00:00:00,98,A,FARIS,,4651
100732,1824133,REGULAR,CHICK-FIL-A (SAC),,2100 S FLOYD ST,,LOUISVILLE,KY,40208,FOOD SERVICE,2024/02/08 00:00:00,98,A,CHICK-FIL-A (SAC),,4652
102239,1810393,REGULAR,VINAIGRETTE SALAD KITCHEN,,203 N HURSTBOURNE PKWY,,LOUISVILLE,KY,40222,FOOD SERVICE,2023/12/07 00:00:00,97,A,VINAIGRETTE SALAD KITCHEN,,4653
100348,1857188,REGULAR,LA CIENFUEGUERA FOOD MARKET,,1937 LOWER HUNTERS TRACE,,LOUISVILLE,KY,40216,"RETAIL-FOOD  10,000 SQ FT OR LESS",2024/06/17 00:00:00,99,,LA CIENFUEGUERA FOOD MARKET,,4654
101823,1868621,REGULAR,QUALITY INN,,1301 KENTUCKY MILLS DR,,LOUISVILLE,KY,40299,FOOD SERVICE,2024/08/01 00:00:00,93,A,QUALITY INN,,4655
101210,1865235,REGULAR,EAGLE FOOD & BEER HALL,,1314 BARDSTOWN RD,,LOUISVILLE,KY,40204,FOOD SERVICE,2024/07/19 00:00:00,96,A,EAGLE FOOD & BEER HALL,,4656
102651,1814010,REGULAR,FARIS,,10231 BLUE LICK RD,,LOUISVILLE,KY,40229,"RETAIL-FOOD  10,000 SQ FT OR LESS",2023/12/21 00:00:00,98,,FARIS,,4657
100732,1871630,REGULAR,CHICK-FIL-A (SAC),,2100 S FLOYD ST,,LOUISVILLE,KY,40208,FOOD SERVICE,2024/08/13 00:00:00,98,A,CHICK-FIL-A (SAC),,4658
102239,1878006,REGULAR,VINAIGRETTE SALAD KITCHEN,,203 N HURSTBOURNE PKWY,,LOUISVILLE,KY,40222,FOOD SERVICE,2024/09/05 00:00:00,98,A,VINAIGRETTE SALAD KITCHEN,,4659
100348,1858091,FOLLOWUP,LA CIENFUEGUERA FOOD MARKET,,1937 LOWER HUNTERS TRACE,,LOUISVILLE,KY,40216,"RETAIL-FOOD  10,000 SQ FT OR LESS",2024/06/24 00:00:00,100,A,LA CIENFUEGUERA FOOD MARKET,,4660
100733,1816545,REGULAR,POD DAVIDSON,,2100 S FLOYD ST,,LOUISVILLE,KY,40208,PRE-PACKAGED RETAIL,2024/01/08 00:00:00,100,,POD DAVIDSON,,4661
101211,1809704,REGULAR,CIAO,,1201 PAYNE ST,,LOUISVILLE,KY,40204,FOOD SERVICE,2023/12/04 00:00:00,100,A,CIAO,,4662
101824,1809293,REGULAR,LITTLE GREEK,,4600 SHELBYVILLE RD STE 402,,LOUISVILLE,KY,40207,FOOD SERVICE,2023/12/04 00:00:00,100,A,LITTLE GREEK,,4663
102651,1861225,FOLLOWUP,FARIS,,10231 BLUE LICK RD,,LOUISVILLE,KY,40229,"RETAIL-FOOD  10,000 SQ FT OR LESS",2024/06/28 00:00:00,98,,FARIS,,4664
100349,1811849,REGULAR,MELLWOOD TAVERN,,1801 BROWNSBORO RD,,LOUISVILLE,KY,40206,FOOD SERVICE,2023/12/14 00:00:00,98,A,MELLWOOD TAVERN,,4665
101824,1848938,REGULAR,LITTLE GREEK,,4600 SHELBYVILLE RD STE 402,,LOUISVILLE,KY,40207,FOOD SERVICE,2024/05/20 00:00:00,99,A,LITTLE GREEK,,4666
102239,1850785,REGULAR,VINAIGRETTE SALAD KITCHEN,,203 N HURSTBOURNE PKWY,,LOUISVILLE,KY,40222,FOOD SERVICE,2024/05/28 00:00:00,99,A,VINAIGRETTE SALAD KITCHEN,,4667
101211,1856569,REGULAR,CIAO,,1201 PAYNE ST,,LOUISVILLE,KY,40204,FOOD SERVICE,2024/06/17 00:00:00,96,A,CIAO,,4668
100738,1824053,REGULAR,GANDER,,111 S ENGLISH STATION RD,,LOUISVILLE,KY,40245,FOOD SERVICE,2024/02/08 00:00:00,98,A,GANDER,,4669
102651,1858122,REGULAR,FARIS,,10231 BLUE LICK RD,,LOUISVILLE,KY,40229,"RETAIL-FOOD  10,000 SQ FT OR LESS",2024/06/24 00:00:00,88,C,FARIS,,4670
100349,1865486,REGULAR,MELLWOOD TAVERN,,1801 BROWNSBORO RD,,LOUISVILLE,KY,40206,FOOD SERVICE,2024/07/22 00:00:00,98,A,MELLWOOD TAVERN,,4671
101832,1808068,REGULAR,GARDENCOURT KITCHEN,,1044 ALTA VISTA RD,,LOUISVILLE,KY,40205,FOOD SERVICE,2023/11/29 00:00:00,100,A,GARDENCOURT KITCHEN,,4672
